Product Name*,Categories*,Product Description,Price*,Discounted Price,Variant SKU Code,Variant Label 1,Variant Value 1,Variant Label 2,Variant Value 2,Tax Value (%),HSN,Product Weight (kg),Image links (up to 24 for each product group),GTIN,Google product category
Compatible - Mario Kart Luigi & Mach (72050),Super Mario,"<p>Race into action with the Mario Kart Luigi &amp; Mach 8 building block set (72050). This high-quality compatible building block set delivers a fun and engaging build experience, making it a perfect display piece for Mario Kart fans, gamers, and collectors alike.</p>",6999.0,,72050,,,,,18,95030030,0.5,"/images/compatible___mario_kart_luigi___mach__72050_.jpg,/images/compatible___mario_kart_luigi___mach__72050__1.jpg",,
Compatible - Ford Model T (11376),Icons,<p>Build your own Ford Model T. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for vintage car enthusiasts and collectors.</p>,3999.0,,11376,,,,,18,95030030,0.5,"/images/compatible___ford_model_t__11376_.jpg,/images/compatible___ford_model_t__11376__1.jpg",,
Compatible - K-2SO Security Droid (75434),Star Wars,<p>Build your own K-2SO Security Droid. This high-quality compatible building block set offers an engaging building experience and makes a perfect display piece for sci-fi fans and collectors.</p>,3999.0,,75434,,,,,18,95030030,0.5,"/images/compatible___k_2so_security_droid__75434_.jpg,/images/compatible___k_2so_security_droid__75434__1.jpg",,
Compatible - Love Birds (21365),Ideas,"<p>Create a charming Love Birds display with this elegant building set, perfect for adding a soft and aesthetic touch to your collection.</p>",2999.0,,21365,,,,,18,95030030,0.5,/images/compatible___love_birds__21365_.jpg,,
Compatible - ARC-170 Starfighter (75402),Star Wars,"<p>Build the ARC-170 Starfighter with this detailed model set, designed for fans who enjoy iconic space builds and display pieces.</p>",2999.0,,75402,,,,,18,95030030,0.5,"/images/compatible___arc_170_starfighter__75402_.jpg,/images/compatible___arc_170_starfighter__75402__1.jpg",,
Compatible - Balrog Book Nook (10367),The Lord of the Rings,"<p>Build the Balrog Book Nook with this detailed and collectible building set, perfect for adding to your display shelf.</p>",4999.0,,10367,,,,,18,95030030,0.5,"/images/compatible___balrog_book_nook__10367_.jpg,/images/compatible___balrog_book_nook__10367__1.jpg",,
Compatible - 2022 Ford GT (42154),Technic,"<p>Build the 2022 Ford GT with this detailed and collectible building set, perfect for adding to your display shelf.</p>",4399.0,,42154,,,,,18,95030030,0.5,"/images/compatible___2022_ford_gt__42154_.jpg,/images/compatible___2022_ford_gt__42154__1.jpg",,
Compatible - NASA Artemis Space Launch System (42221),Technic,"<p>Build the NASA Artemis Space Launch System with this detailed and collectible building set, ideal for collectors looking for a unique piece.</p>",3499.0,,42221,,,,,18,95030030,0.5,"/images/compatible___nasa_artemis_space_launch_system__42221_.jpg,/images/compatible___nasa_artemis_space_launch_system__42221__1.jpg",,
Compatible - Ford Bronco SUV (42213),Technic,"<p>Build the Ford Bronco SUV with this detailed and collectible building set, crafted for display and collection.</p>",4999.0,,42213,,,,,18,95030030,0.5,"/images/compatible___ford_bronco_suv__42213_.jpg,/images/compatible___ford_bronco_suv__42213__1.jpg",,
Compatible - Question Mark Block (71395),Super Mario,"<p>Build the Question Mark Block with this detailed and collectible building set, great for both building and showcasing.</p>",5199.0,,71395,,,,,18,95030030,0.5,"/images/compatible___question_mark_block__71395_.jpg,/images/compatible___question_mark_block__71395__1.jpg",,
